region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation
Dakar,1970,724461.6921597,27614.737825599997,696846.9543341,96.18824040000001
Dakar,1971,759203.2526073001,28805.871926999997,730397.3806802,96.205776
Dakar,1972,795610.844586,30048.384406700003,765562.4601793,96.2232309
Dakar,1973,833764.3626382,31344.491419700003,802419.8712184,96.2406055
Dakar,1974,873747.5326485,32696.5047126,841051.0279358,96.2579002
Dakar,1975,915648.0955765999,34106.835746900004,881541.2598296999,96.2751153
Dakar,1976,959558.0,35578.0,923980.0,96.2922512
Dakar,1977,995975.145216,36776.723536000005,959198.4216799999,96.3074657
Dakar,1978,1033774.3939271999,38015.1652065,995759.2287208,96.3226826
Dakar,1979,1073008.1997254998,39294.6122429,1033713.5874827,96.337902
Dakar,1980,1113731.0069216,40616.3923384,1073114.6145831998,96.35312370000001
Dakar,1981,1155999.3260962,41981.874863599995,1114017.4512326,96.3683478
Dakar,1982,1199871.8125202,43392.4721164,1156479.3404038,96.3835743
Dakar,1983,1245409.347549,44849.640606400004,1200559.7069426,96.3988033
Dakar,1984,1292675.1231071998,46354.8823747,1246320.2407325,96.4140346
Dakar,1985,1341734.7293794,47909.746351099995,1293824.9830282,96.4292684
Dakar,1986,1392656.2458288,49515.82974740001,1343140.4160813,96.44450450000001
Dakar,1987,1445510.3356705,51174.7794898,1394335.5561807,96.4597431
Dakar,1988,1500375.0,52898.0,1447477.0,96.47434809999999
Dakar,1989,1558377.997125,54737.442048000004,1503640.555077,96.4875375
Dakar,1990,1618483.0780961001,56635.093491499996,1561847.9846046001,96.50073
Dakar,1991,1680702.4230674,58595.219520800005,1622107.2035466002,96.51364699999999
Dakar,1992,1744827.9433171002,60120.3785712,1684707.5647459,96.5543664
Dakar,1993,1811005.7775512,62171.504060800005,1748834.2734903998,96.5670179
Dakar,1994,1879382.1116884,64284.5075755,1815097.6041128999,96.5794871
Dakar,1995,1939636.0,66755.0,1872881.0,96.5583749
Dakar,1996,2012303.0,69011.0,1943292.0,96.5705463
Dakar,1997,2087345.0,71336.0,2016009.0,96.5824528
Dakar,1998,2164806.0,73725.0,2091081.0,96.59438309999999
Dakar,1999,2244682.0,76184.0,2168498.0,96.60602259999999
Dakar,2000,2326929.0,78706.0,2248223.0,96.617602
Dakar,2001,2411529.0,81293.0,2330236.0,96.6289852
Dakar,2002,2267356.0,74986.0,2192370.0,96.69279990000001
Dakar,2003,2268542.0,77282.0,2191260.0,96.59331850000001
Dakar,2004,2399451.0,79349.0,2320102.0,96.69303520000001
Dakar,2005,2452656.0,81106.0,2371550.0,96.6931359
Dakar,2006,2508311.0,82943.0,2425368.0,96.69327290000001
Dakar,2007,2428155.0,79950.90420710001,2348204.0957929003,96.70733929999999
Dakar,2008,2482294.0,69079.0,2413215.0,97.2171306
Dakar,2009,2536959.0,70600.0,2466359.0,97.2171407
Dakar,2010,2592191.0,72137.0,2520054.0,97.22
Dakar,2013,3137196.0,110880.0,3026316.0,96.4656336422716
Dakar,2014,3233460.0,116405.0,3117055.0,96.39998639228571
Dakar,2015,3330692.0,119905.0,3210787.0,96.3999973579064
Dakar,2016,3429370.0,123457.0,3305913.0,96.40000933115999
Dakar,2017,3529300.0,127054.0,3402246.0,96.40002266738449
Dakar,2018,3630324.0,130693.0,3499631.0,96.39996319887699
Diourbel,1970,372010.3893189,302329.99423609994,69680.39508280001,18.730765899999998
Diourbel,1971,381310.6490519,308494.63619040005,72816.0128616,19.096244199999997
Diourbel,1972,390843.4152782,314750.6818379,76092.7334403,19.4688539
Diourbel,1973,400614.5006602,321097.594215,79516.9064452,19.848734
Diourbel,1974,410629.8631767,327534.6959415,83095.1672352,20.2360263
Diourbel,1975,420895.6097561,334061.1599953,86834.44976080001,20.630875600000003
Diourbel,1976,431418.0,340676.0,90742.0,21.0334293
Diourbel,1977,444892.909812,351127.658598,93765.251214,21.075914899999997
Diourbel,1978,458788.69495710003,361899.4668684,96889.2280887,21.1184864
Diourbel,1979,473118.5010554,373001.2145544,100117.2865009,21.161143799999998
Diourbel,1980,487895.88431730005,384442.99018200004,103452.8941353,21.2038874
Diourbel,1981,503134.8243681,396235.19015890005,106899.6342092,21.2467174
Diourbel,1982,518849.7374724,408388.5281503,110461.2093221,21.2896338
Diourbel,1983,535055.4901726,420914.0447395,114141.44543310002,21.332637
Diourbel,1984,551767.4133527,433823.1173821,117944.29597060001,21.375726999999998
Diourbel,1985,569001.3167413,447127.47066190006,121873.84607950001,21.418904100000002
Diourbel,1986,586773.5038684,460839.18685909995,125934.3170093,21.462168300000002
Diourbel,1987,605100.7874882,474970.7168392,130130.07064910002,21.50552
Diourbel,1988,624000.0,489535.0,134465.0,21.5488782
Diourbel,1989,644148.96,505089.29095,139059.66905,21.5881229
Diourbel,1990,664933.0703434,521129.9369224,143803.133421,21.626707999999997
Diourbel,1991,686345.9100076,537649.5873657,148696.32264189998,21.664924399999997
Diourbel,1992,708293.1931719,554575.9904997,153717.20267220002,21.702482
Diourbel,1993,730826.1245263,571948.327926,158877.79660029997,21.7394796
Diourbel,1994,753993.3126738,589803.1191886,164190.19348520003,21.776080899999997
Diourbel,1995,777894.9006856,608214.6797008,169680.2209848,21.812743700000002
Diourbel,1996,798054.0,623699.0,174355.0,21.847519100000003
Diourbel,1997,823116.0,642997.0,180119.0,21.882577899999998
Diourbel,1998,848859.0,662814.0,186045.0,21.917067499999998
Diourbel,1999,875272.0,683140.0,192132.0,21.951119199999997
Diourbel,2000,902327.0,703954.0,198373.0,21.984602
Diourbel,2001,930007.0,725240.0,204767.0,22.0177913
Diourbel,2002,1049954.0,881596.0,168358.0,16.0347977
Diourbel,2003,1076874.0,906727.9079999999,170146.092,15.8
Diourbel,2004,1144009.0,965208.0,178801.0,15.629335099999999
Diourbel,2005,1183095.0,1000893.0,182202.0,15.400453899999999
Diourbel,2006,1226379.0,1039821.0,186558.0,15.2121
Diourbel,2007,1234755.0,1048005.3533740999,186749.64662589997,15.124429300000001
Diourbel,2008,1274494.0,1077488.0,197006.0,15.4575855
Diourbel,2009,1315200.0,1111907.0,203293.0,15.457192800000001
Diourbel,2010,1356796.0,1147079.0,209717.0,15.46
Diourbel,2013,1497455.0,1257585.0,239870.0,16.0185114076884
Diourbel,2014,1543647.0,1295120.0,248527.0,16.0999891814644
Diourbel,2015,1591593.0,1335347.0,256246.0,16.0999702813471
Diourbel,2016,1641350.0,1375451.0,265899.0,16.2000182776373
Diourbel,2017,1692967.0,1418707.0,274260.0,16.1999613695955
Diourbel,2018,1746496.0,1463564.0,282932.0,16.1999798453589
Fatick,1970,359363.9434828,330557.8706527,28806.07283,8.0158495
Fatick,1971,368348.0420698,338245.6959625,30102.3461074,8.172256299999999
Fatick,1972,377556.74312159995,346099.7914394,31456.951682200004,8.331714999999999
Fatick,1973,386995.6616996,354123.1471917,32872.5145079,8.494285000000001
Fatick,1974,396670.55324209994,362318.7755814,34351.7776608,8.6600272
Fatick,1975,406587.3170732,370689.7094177,35897.6076555,8.829003300000002
Fatick,1976,416752.0,379239.0,37513.0,9.0012765
Fatick,1977,424073.499136,385373.13766,38700.361476,9.125861800000001
Fatick,1978,431523.6223688,391598.3170514,39925.3053174,9.2521714
Fatick,1979,439104.62936659995,397915.60828529997,41189.0210813,9.3802293
Fatick,1980,446818.8194953,404326.08351870003,42492.7359766,9.510059599999998
Fatick,1981,454668.5325162,410830.8164605,43837.716055699995,9.6416868
Fatick,1982,462656.1492954001,417430.88185109996,45225.2674443,9.7751359
Fatick,1983,470784.09252629994,424127.3549168,46656.7376095,9.9104321
Fatick,1984,479054.8274638,430921.3107955,48133.516668300006,10.0476008
Fatick,1985,487470.8626727,437813.82393479993,49657.0387379,10.1866681
Fatick,1986,496034.75078809995,444805.96746009996,51228.783328,10.3276602
Fatick,1987,504749.08928990003,451898.812512,52850.276777900006,10.4706037
Fatick,1988,513616.0,459093.0,54523.0,10.615518199999999
Fatick,1989,523075.77948800003,466764.206996,56311.572492,10.7654712
Fatick,1990,532667.9431323,468595.23502200004,64072.7081103,12.0286398
Fatick,1991,542373.6857241,476148.34569190006,66225.34003220001,12.210279
Fatick,1992,552104.9543933001,483670.2974299,68434.6569634,12.395226
Fatick,1993,561888.2541852,491178.1304655,70710.1237197,12.5843748
Fatick,1994,571748.2692696,498696.0150711,73052.2541985,12.7769961
Fatick,1995,581781.3078988001,506308.76237270003,75472.5455261,12.972665899999999
Fatick,1996,588563.0,490416.1240033,98146.87599670001,16.675678899999998
Fatick,1997,598607.0,497400.69899630005,101206.30100369999,16.9069692
Fatick,1998,608706.0,504021.00580079993,104684.9941992,17.1979567
Fatick,1999,618837.0,510917.8372169001,107919.16278310001,17.4390288
Fatick,2000,628969.0,517734.48683199997,111234.513168,17.6852139
Fatick,2001,639075.0,557288.0,81787.0,12.797715400000001
Fatick,2002,613000.0,535706.0,77294.0,12.609135400000001
Fatick,2003,629036.0,549148.428,79887.572,12.7
Fatick,2004,643505.0,562346.0,81159.0,12.6120232
Fatick,2005,652361.0,570172.0,82189.0,12.5986992
Fatick,2006,663867.0,580250.0,83617.0,12.5954446
Fatick,2007,714750.0,623586.8251915,91163.1748085,12.754553999999999
Fatick,2008,685044.0,569487.0,89993.0,13.1368204
Fatick,2009,722343.0,600495.0,94891.0,13.136557
Fatick,2010,724345.0,602160.0,95155.0,13.14
Fatick,2013,714392.0,603903.0,110489.0,15.466158635594999
Fatick,2014,737487.0,617277.0,120210.0,16.2999483380724
Fatick,2015,761710.0,636028.0,125682.0,16.4999803074661
Fatick,2016,787037.0,655601.0,131436.0,16.700104315299
Fatick,2017,813542.0,676053.0,137489.0,16.9000494135521
Fatick,2018,841294.0,697433.0,143861.0,17.099967431124
Kaffrine,2008,526442.0,463601.0,62841.0,11.9369275
Kaffrine,2009,540733.0,476188.0,64545.0,11.936575
Kaffrine,2010,558041.0,491432.0,66609.0,11.94
Kaffrine,2013,566992.0,481115.0,85877.0,15.146069080339801
Kaffrine,2014,587946.0,492699.0,95247.0,16.1999571389209
Kaffrine,2015,609638.0,508438.0,101200.0,16.600015090922803
Kaffrine,2016,632023.0,524579.0,107444.0,17.0000142399881
Kaffrine,2017,655121.0,541130.0,113991.0,17.3999917572479
Kaffrine,2018,678955.0,558101.0,120854.0,17.800001472851697
Kaolack,1970,525429.3854137999,428701.3987416,96727.9866722,18.4093219
Kaolack,1971,538565.1200491,437484.3739767,101080.7460725,18.7685281
Kaolack,1972,552029.2480503,446399.86840459995,105629.3796457,19.1347433
Kaolack,1973,565829.9792516,455447.27752179996,110382.70172980001,19.5081042
Kaolack,1974,579975.7287329,464625.80542530003,115349.9233076,19.888750100000003
Kaolack,1975,594475.1219512,473934.4520948,120540.66985650001,20.2768233
Kaolack,1976,609337.0,483372.0,125965.0,20.672468600000002
Kaolack,1977,624443.073567,494206.600417,130236.47315,20.8564205
Kaolack,1978,639923.6418038,505270.8498493,134652.79195450002,21.0420093
Kaolack,1979,655787.9888078,516569.12067810004,139218.86812970001,21.229249499999998
Kaolack,1980,672045.6288383,528105.8488903,143939.779948,21.4181558
Kaolack,1981,688706.3120228001,539885.5341368,148820.777886,21.6087431
Kaolack,1982,705780.0302042,551912.7397401,153867.2904641,21.801026399999998
Kaolack,1983,723277.022933,564192.0926492,159084.93028379997,21.9950206
Kaolack,1984,741207.7836085,576728.2833388001,164479.50026970002,22.190741100000004
Kaolack,1985,759583.0657719,589526.0656481,170057.00012379998,22.3882032
Kaolack,1986,778413.8895555,602590.2565575,175823.63299800002,22.587422399999998
Kaolack,1987,797711.5482915,615925.7358985,181785.812393,22.7884143
Kaolack,1988,817488.0,629538.0,187950.0,22.9911632
Kaolack,1989,838815.4444319999,643605.875682,195209.56875,23.272052300000002
Kaolack,1990,860694.2676691,647381.3369383999,213312.93073070003,24.7838215
Kaolack,1991,883105.8857049999,661850.4385354,221255.44716950002,25.0542376
Kaolack,1992,905919.1600504,676487.8009514,229431.3590989,25.3258093
Kaolack,1993,929189.5055146,691330.6517055001,237858.8538091,25.5985299
Kaolack,1994,952971.1817187,706416.3729305001,246554.8087883,25.8722209
Kaolack,1995,977361.5261435999,721787.9213431,255573.6048006,26.149341699999997
Kaolack,1996,996807.0,719572.8872303,277234.1127697,27.8122157
Kaolack,1997,1022078.0,735884.1480405,286193.8519595,28.0011752
Kaolack,1998,1047877.0,752132.5156549,295744.48434509995,28.223206
Kaolack,1999,1074178.0,759990.29613,314187.70386999997,29.249128499999998
Kaolack,2000,1100938.0,776816.3191069,324121.6808931,29.440502600000002
Kaolack,2001,1128128.0,839411.0,288717.0,25.592574600000003
Kaolack,2002,1066375.0,815990.0,250385.0,23.4800141
Kaolack,2003,1075770.0,822964.05,252805.95,23.5
Kaolack,2004,1114292.0,854034.0,260258.0,23.356355399999998
Kaolack,2005,1132707.0,868756.0,263951.0,23.3026723
Kaolack,2006,1151994.0,884171.0,267823.0,23.2486454
Kaolack,2007,1232323.0,943961.1791055,288361.8208945,23.399857100000002
Kaolack,2008,750853.0,513045.0,237808.0,31.671712
Kaolack,2009,771227.0,526971.0,244256.0,31.671090399999997
Kaolack,2010,795906.0,543839.0,252067.0,31.67
Kaolack,2013,960875.0,622115.0,338760.0,35.255366202679895
Kaolack,2014,990748.0,635070.0,355678.0,35.899946303197204
Kaolack,2015,1021656.0,650795.0,370861.0,36.2999874713211
Kaolack,2016,1053535.0,666887.0,386648.0,36.7000621716412
Kaolack,2017,1086464.0,683386.0,403078.0,37.09998674599429
Kaolack,2018,1120404.0,700253.0,420151.0,37.4999553732404
Kedougou,2008,122333.0,102279.0,20054.0,16.392960199999997
Kedougou,2009,125763.0,105147.0,20616.0,16.3927387
Kedougou,2010,129908.0,108613.0,21295.0,16.39
Kedougou,2013,151357.0,113829.0,37528.0,24.794360353336803
Kedougou,2014,156352.0,115701.0,40651.0,25.9996674171101
Kedougou,2015,161532.0,119210.0,42322.0,26.200381348587303
Kedougou,2016,166907.0,122677.0,44230.0,26.499787306703702
Kedougou,2017,172482.0,126257.0,46225.0,26.7998979603669
Kedougou,2018,178269.0,130136.0,48133.0,27.0002075515092
Kolda,1970,386090.8348432,357085.877017,29004.957826200003,7.512469900000001
Kolda,1971,395743.10571429995,365432.92478590005,30310.180928400005,7.6590547
Kolda,1972,405636.6833572,373962.54428699997,31674.139070200003,7.8084997000000005
Kolda,1973,415777.60044109996,382678.12511270004,33099.4753284,7.9608606
Kolda,1974,426172.0404521,391583.088734,34588.9517181,8.1161945
Kolda,1975,436826.3414634,400680.886918,36145.4545455,8.2745593
Kolda,1976,447747.0,409975.0,37772.0,8.4360141
Kolda,1977,458571.283725,419199.412893,39371.870832,8.5857689
Kolda,1978,469657.2445091,428617.7387161,41039.505793000004,8.738182199999999
Kolda,1979,481011.2083951,438233.43329470005,42777.7751003,8.8933011
Kolda,1980,492639.65435799997,448049.9838155,44589.670542500004,9.051173599999998
Kolda,1981,504549.2180021,458070.9073741,46478.310628,9.2118487
Kolda,1982,516746.6953473,468299.74939440005,48446.9459529,9.3753761
Kolda,1983,529239.0467073,478740.0819116,50498.9647957,9.541806300000001
Kolda,1984,542033.4006614999,489395.50171290006,52637.8989486,9.711191
Kolda,1985,555137.0581225001,500269.628326,54867.4297965,9.8835826
Kolda,1986,568557.4965026,511366.1018497,57191.3946529,10.059034500000001
Kolda,1987,582302.3739805,522688.58061570005,59613.7933648,10.2376009
Kolda,1988,596378.0,534239.0,62139.0,10.4193984
Kolda,1989,611561.187502,546803.15293,64758.034572000004,10.5889706
Kolda,1990,627126.6428463,546786.7410285999,80339.9018177,12.8107939
Kolda,1991,643058.7952078,559633.2885123,83425.50669550001,12.973231599999998
Kolda,1992,659262.5907295,572654.9791849,86607.6115446,13.1370432
Kolda,1993,675777.1186271999,585881.5671766,89895.5514506,13.302544400000002
Kolda,1994,692640.4608455,599345.7532646,93294.70758080001,13.469427900000001
Kolda,1995,709924.6109054,613094.6348175,96829.9760879,13.6394731
Kolda,1996,723594.0,623606.649615,99987.350385,13.818156400000001
Kolda,1997,741472.0,637748.9864401,103723.01355989999,13.9887971
Kolda,1998,759708.0,652124.2045167,107583.7954833,14.161203400000002
Kolda,1999,778283.0,666714.9067103,111568.0932897,14.3351574
Kolda,2000,797165.0,681492.6816021,115672.31839789999,14.5104612
Kolda,2001,816331.0,712838.0,103493.0,12.6778231
Kolda,2002,847243.0,736628.0,110615.0,13.0558765
Kolda,2003,864018.0,749967.6240000001,114050.37599999999,13.2
Kolda,2004,893867.0,776794.0,117073.0,13.097362400000002
Kolda,2005,912503.0,792826.0,119677.0,13.1152446
Kolda,2006,932014.0,809612.0,122402.0,13.1330645
Kolda,2007,942204.0,816528.8397836,125675.1602164,13.3384235
Kolda,2008,569715.0,448046.0,121669.0,21.356116699999998
Kolda,2009,585159.0,460191.0,124968.0,21.3562468
Kolda,2010,603961.0,474978.0,128983.0,21.36
Kolda,2013,662455.0,492818.0,169637.0,25.6073242710826
Kolda,2014,682687.0,501775.0,180912.0,26.4999919435993
Kolda,2015,703774.0,513755.0,190019.0,27.0000028418214
Kolda,2016,725690.0,526851.0,198839.0,27.399991732006804
Kolda,2017,748451.0,539633.0,208818.0,27.9000228471871
Kolda,2018,772073.0,552805.0,219268.0,28.3999051903123
Louga,1970,368986.31421,331300.2950625,37686.0191475,10.2133921
Louga,1971,378210.9720653,338829.0820562,39381.890009099996,10.4126778
Louga,1972,387666.24636690004,346512.17130740004,41154.075059500006,10.615852
Louga,1973,397357.9025261,354351.89408890007,43006.0084372,10.8229906
Louga,1974,407291.8500892,362350.57127240003,44941.278816900005,11.0341709
